carry,V,2,2,1,You must carry your camping gear .,The student carries his bag on his shoulder .,Sound carries well over water .,F,
go,V,2,3,6,Messages must go through diplomatic channels .,I really must go,Do you think the sofa will go through the door ?,F,
break,V,0,1,2,Break an alibi .,This broke the pattern of generations remaining in the place where they were born,The wholesaler broke the container loads into palettes and boxes for local retailers .,F,
academy,N,1,6,2,The Academy of Music .,I have enrolled myself into the academy that provides technical training,The French Academy .,F,
set,V,0,1,1,Set the table .,Delaney set the mug of tea down,To set glass in a sash .,F,
take,V,2,3,8,Do you take sugar in your coffee ?,A reading was taken of the earth 's tremors .,he completed a particularly difficult scene in two takes,F,
death,N,1,2,3,Her death came as a terrible shock .,"even in death, she was beautiful",He had two deaths on his conscience .,F,
despite,N,1,5,5,The despite in which outsiders were held is legendary .,the theatre only earns my despite,She wanted neither favor nor despite .,F,
fall,V,2,4,3,The cities fell to the enemy .,five inches of snow fell through the night,many readers will fall by the wayside as the terminology becomes more complicated,F,
work,V,4,5,0,This dough does not work easily .,she has been working so hard,Work the phones .,F,
shock,N,5,3,8,The armies met in the shock of battle .,it was a shock to face such hostile attitudes when I arrived,The train hit the buffers with a great shock .,F,
play,V,5,3,0,This speech didn't play well with the American public .,the children were playing by a pool,Play football .,F,
make,V,3,3,0,What do you make of his remarks ?,the drips had made a pool on the floor,Make a dress .,F,
end,N,8,4,1,The so called glorious experiment came to an inglorious end .,the church at the end of the road,The end was exciting .,F,
break,N,3,7,4,There was a break in the action when a player was hurt .,the magazine has been published without a break since 1950,He was up two breaks in the second set .,F,
life,N,13,6,1,It was a heavy play and the actors tried in vain to give life to it .,she was beautiful and full of life,The life of this milk carton may be thousands of years in this landfill .,F,
do,V,3,10,5,All you ever do is surf the Internet .,I never really got the chance to finish school or do my exams,A ' B ' grade does n't suffice to get me into medical school .,F,
play,V,0,10,0,Play fair .,"he needs financial backing, but the building societies won't play",Play football .,F,
see,V,4,4,3,What message do you see in this letter ?,I can't see any other way to treat it,We had to see a psychiatrist .,F,
answer,V,6,6,2,She didn't want to answer .,"Of course I can, she answered",This may answer her needs .,F,
head,N,5,6,3,Tickets are $ 5 per head .,Teacher asked the students for a head count .,He is two heads taller than his little sister .,F,
break,V,1,10,0,Jan broke the TV screen with the award .,"If the vase falls to the floor , it might break .",Break into tears .,F,
carry,V,2,3,1,These bonds carry warrants .,The documents that carry the signature are lost .,She carries her ideas to the extreme .,F,
shot,N,0,6,3,Shots fired .,I caught him with a solid shot to the chin .,He wanted a shot at the champion .,F,
body,N,1,6,8,The body of the car was badly rusted .,The factory had produced more car bodies than needed .,"Penny was in the scullery , pressing the body of her new dress .",F,
recognition,N,9,2,1,She seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own .,Give her recognition for trying .,Face recognition system is used frequently by the smart phones .,F,
shift,V,3,1,1,You have to shift when you go down a steep hill .,She shifted down to fourth .,He shifted in his seat .,F,
follow,V,2,2,1,Let 's follow our great helmsman !,The hunter followed the footsteps of the deer .,He followed his lecture with a question and answer period .,F,
make,V,3,1,0,She may not make the grade .,He made it to medical school despite facing economical hardships .,Make a stir .,F,
head,N,2,1,6,Under the head of minor Roman poets .,The head of the Cognitive Science department resigned .,They tracked him back toward the head of the stream .,F,
give,V,0,1,2,Give a divorce .,she gave him presents and clothes,The wall gave in .,F,
fall,V,0,11,1,Fall by the wayside .,So why does one�company�survive�a�recession�while�its�competitors�fall�by the�wayside?,To fall a tree .,F,
make,V,3,6,1,She may not make the grade .,There are two more points to make,He made twenty bucks playing poker last night .,F,
give,V,0,3,2,Give a yelp .,I gave a bow,This student gives promise of real creativity .,F,
cut,V,0,11,0,Cut a movie scene .,I like to watch the rushes at home before I start cutting the film,Cut a Ping Pong ball .,F,
seat,N,5,3,4,He was elected to a seat in the Senate .,he lost his seat in the 1997 election,He dusted off the seat before sitting down .,F,
make,V,0,3,3,Make enemies .,the issue price makes them good value,What do you make of his remarks ?,F,
make,V,2,14,0,We should make Cincinnati by 7 tonight .,we've got a lot to do if you're going to make the shuttle,Make the bed .,F,
tea,N,0,0,1,Tea has fragrant white flowers .,tea is grown various part of india,Iced tea is a cooling drink .,F,
take,V,0,1,5,Take sick .,I take your point,I estimate the trip will take about ten minutes .,F,
head,N,1,5,1,The head of the compass needle is pointing due north .,He sat down at the head of the cot .,200 head of cattle .,F,
space,N,5,1,1,The astronauts walked in outer space without a tether .,The space consists of innumerable planets and stars .,The space between his teeth .,F,
score,N,3,6,1,What was your score on your homework ?,I am still waiting for my score from Elisa Frasnelli's class .,The score was 7 to 0 .,F,
fix,V,0,2,2,"Fix breakfast for the guests , please .",Can you fix me something to eat?,That 'll fix him good !,F,
head,N,4,1,4,She applied to become head of her department .,The head of the column advanced boldly .,Matters came to a head yesterday .,F,
show,V,8,2,1,He bet $ 2 on number six to show .,Guess who showed up in the cameo of my favorite series !,I showed the customer the glove section .,F,
cut,V,4,5,0,The employer wants to cut back health benefits .,The doctor told me to cut the alcohol .,Cut trenches .,F,
